AK-47	WARS	*HUNGARIAN REVOLUTION OF 1956\N*VIETNAM WAR\N*SEE OTHER CONFLICTS AND WARS
CANON DE 75 M	WARS	WORLD WAR II
CANON DE 75 M	WARS	WORLD WAR II
76 MM MOUNTAIN GUN M1909	WARS	WORLD WAR I
76 MM MOUNTAIN GUN M1909	WARS	WORLD WAR II
CANON COURT DE 105 M	WARS	WORLD WAR II
7.5 CM LEICHTES INFANTERIEGESCHüTZ 18	WARS	SECOND WORLD WAR
PANZER II	WARS	WORLD WAR II
BMP-1	WARS	SEE SERVICE HISTORY AND COMBAT HISTORY
PIAT	WARS	SECOND WORLD WAR
PIAT	WARS	1948
PIAT	WARS	KOREAN WAR
PIAT	WARS	INDO-PAKISTANI WAR OF 1971
MP 40	WARS	WORLD WAR IICOLD WARKOREAN WARVIETNAM WARSYRIAN CIVIL WAR
MG 34	WARS	SPANISH CIVIL WAR
MG 34	WARS	SECOND SINO-JAPANESE WAR
MG 34	WARS	WORLD WAR II
MG 34	WARS	CHINESE CIVIL WAR
MG 34	WARS	1948
MG 34	WARS	KOREAN WAR
MG 34	WARS	PORTUGUESE COLONIAL WARS
MG 34	WARS	ALGERIAN WAR
MG 34	WARS	VIETNAM WAR
MG 34	WARS	ANGOLAN CIVIL WAR
MG 34	WARS	YUGOSLAV WARS
MG 34	WARS	MEXICAN DRUG WAR
MG 34	WARS	SYRIAN CIVIL WAR
MG 42	WARS	WORLD WAR II
MG 42	WARS	PORTUGUESE COLONIAL WAR
MG 42	WARS	YUGOSLAV WARS
MG 42	WARS	SYRIAN CIVIL WAR
STEN	WARS	WORLD WAR II
STEN	WARS	WARSAW UPRISING
STEN	WARS	SECOND SINO-JAPANESE WAR
STEN	WARS	CHINESE CIVIL WAR
STEN	WARS	INDONESIAN NATIONAL REVOLUTION
STEN	WARS	MALAYAN EMERGENCY
STEN	WARS	KOREAN WAR
STEN	WARS	MAU MAU UPRISING
STEN	WARS	SUEZ CRISIS
STEN	WARS	1948
STEN	WARS	SINO-INDIAN WAR
STEN	WARS	FIRST INDOCHINA WAR
STEN	WARS	VIETNAM WAR
STEN	WARS	LAOTIAN CIVIL WAR
STEN	WARS	LEBANESE CIVIL WAR
STEN	WARS	RHODESIAN BUSH WAR
STEN	WARS	TURKISH INVASION OF CYPRUS
STEN	WARS	INDO-PAKISTAN WARS
STEN	WARS	BORDER CAMPAIGN
STEN	WARS	THE TROUBLES
STG 44	WARS	WORLD WAR II
STG 44	WARS	KOREAN WAR
STG 44	WARS	ALGERIAN WAR
STG 44	WARS	VIETNAM WAR
STG 44	WARS	OGADEN WAR
STG 44	WARS	IRAQ WAR
STG 44	WARS	SYRIAN CIVIL WAR
KARABINER 98K	WARS	*
KARABINER 98K	WARS	SPANISH CIVIL WAR
KARABINER 98K	WARS	WORLD WAR II
KARABINER 98K	WARS	SECOND SINO-JAPANESE WAR
KARABINER 98K	WARS	GREEK CIVIL WAR
KARABINER 98K	WARS	1948
KARABINER 98K	WARS	KOREAN WAR
KARABINER 98K	WARS	FIRST INDOCHINA WAR
KARABINER 98K	WARS	CHINESE CIVIL WAR
KARABINER 98K	WARS	SUEZ CRISIS
KARABINER 98K	WARS	PORTUGUESE COLONIAL WAR
KARABINER 98K	WARS	ALGERIAN WAR
KARABINER 98K	WARS	VIETNAM WAR
KARABINER 98K	WARS	SIX-DAY WAR
KARABINER 98K	WARS	WAR OF ATTRITION
KARABINER 98K	WARS	YOM KIPPUR WAR
KARABINER 98K	WARS	SOVIET WAR IN AFGHANISTAN
KARABINER 98K	WARS	IRAN–IRAQ WAR
KARABINER 98K	WARS	YUGOSLAV WARS
KARABINER 98K	WARS	ROMANIAN REVOLUTION OF 1989
KARABINER 98K	WARS	IRAQ WAR
KARABINER 98K	WARS	SYRIAN CIVIL WAR
MG 30	WARS	WORLD WAR II
BREN LIGHT MACHINE GUN	WARS	WORLD WAR II
BREN LIGHT MACHINE GUN	WARS	INDONESIAN NATIONAL REVOLUTION
BREN LIGHT MACHINE GUN	WARS	CHINESE CIVIL WAR
BREN LIGHT MACHINE GUN	WARS	GREEK CIVIL WAR
BREN LIGHT MACHINE GUN	WARS	MALAYAN EMERGENCY
BREN LIGHT MACHINE GUN	WARS	KOREAN WAR
BREN LIGHT MACHINE GUN	WARS	SUEZ CRISIS
BREN LIGHT MACHINE GUN	WARS	SINO-INDIAN WAR
BREN LIGHT MACHINE GUN	WARS	CONGO CRISIS
BREN LIGHT MACHINE GUN	WARS	RHODESIAN BUSH WAR
BREN LIGHT MACHINE GUN	WARS	THE TROUBLES
BREN LIGHT MACHINE GUN	WARS	FALKLANDS WAR
BREN LIGHT MACHINE GUN	WARS	ADEN CONFLICT
LEWIS GUN	WARS	WORLD WAR I
LEWIS GUN	WARS	EMU WAR
LEWIS GUN	WARS	BANANA WARS
LEWIS GUN	WARS	IRISH WAR OF INDEPENDENCE
LEWIS GUN	WARS	IRISH CIVIL WAR
LEWIS GUN	WARS	LATVIAN WAR OF INDEPENDENCE
LEWIS GUN	WARS	SECOND WORLD WAR
LEWIS GUN	WARS	KOREAN WAR
LEWIS GUN	WARS	MALAYAN EMERGENCY
LEWIS GUN	WARS	1948
LEWIS GUN	WARS	THE TROUBLES
LEWIS GUN	WARS	AND OTHER CONFLICTS
PANZER III	WARS	WORLD WAR II
PANZER IV	WARS	WORLD WAR II
PANZER IV	WARS	1948 ARAB–ISRAELI WAR
PANZER IV	WARS	SIX-DAY WAR
CHAUCHAT	WARS	WORLD WAR I
CHAUCHAT	WARS	GRECO-TURKISH WAR
CHAUCHAT	WARS	POLISH–SOVIET WAR
CHAUCHAT	WARS	WINTER WAR
CHAUCHAT	WARS	CONTINUATION WAR
CHAUCHAT	WARS	GRECO-ITALIAN WAR
CHAUCHAT	WARS	WORLD WAR II
M2 BROWNING	WARS	WORLD WAR II
M2 BROWNING	WARS	KOREAN WAR
M2 BROWNING	WARS	FIRST INDOCHINA WAR
M2 BROWNING	WARS	SUEZ CRISIS
M2 BROWNING	WARS	PORTUGUESE COLONIAL WAR
M2 BROWNING	WARS	VIETNAM WAR
M2 BROWNING	WARS	SIX-DAY WAR
M2 BROWNING	WARS	IRAN-IRAQ WAR
M2 BROWNING	WARS	YOM KIPPUR WAR
M2 BROWNING	WARS	CAMBODIAN CIVIL WAR
M2 BROWNING	WARS	CAMBODIAN-VIETNAMESE WAR
M2 BROWNING	WARS	FALKLANDS WAR
M2 BROWNING	WARS	SOUTH AFRICAN BORDER WAR
M2 BROWNING	WARS	NAMIBIAN WAR OF INDEPENDENCE
M2 BROWNING	WARS	INVASION OF GRENADA
M2 BROWNING	WARS	BOUGAINVILLE CIVIL WAR
M2 BROWNING	WARS	UNITED STATES INVASION OF PANAMA
M2 BROWNING	WARS	GULF WAR
M2 BROWNING	WARS	SOMALI CIVIL WAR
M2 BROWNING	WARS	YUGOSLAV WARS
M2 BROWNING	WARS	WAR IN AFGHANISTAN
M2 BROWNING	WARS	IRAQ WAR
M2 BROWNING	WARS	MEXICAN DRUG WAR
M2 BROWNING	WARS	SYRIAN CIVIL WAR
KATZBALGER	WARS	ITALIAN WARS
PINDAD SS1	WARS	ANTI-GUERRILLA OPERATIONS IN ACEH, EAST TIMOR AND IRIAN JAYA, CAMBODIAN–THAI BORDER STAND-OFF
