Fatteh	ingredient	Flatbread
Fatteh	ingredient	Yoghurt
Fatteh	ingredient	Chickpea
Fatteh	ingredient	Oil
Cocido madrileño	ingredient	Chickpea
Gachas	ingredient	Wheat flour
Gachas	ingredient	Lathyrus sativus
Gachas	ingredient	Maize
Rava dosa	ingredient	Semolina
Putnis	ingredient	Mustard seed
Poire belle Hélène	ingredient	Pear
Eggs Neptune	ingredient	Hollandaise sauce
Pizza-ghetti	ingredient	Pizza
Pizza-ghetti	ingredient	Spaghetti
Gulaman	ingredient	Agar
Kozhakkattai	ingredient	Jaggery
Fried chicken	ingredient	Chicken
Fried chicken	ingredient	Bread crumbs
Baklava	ingredient	Phyllo
Khurma	ingredient	Sugar
Sabudana Khichadi	ingredient	Tapioca
Sooth (chutney)	ingredient	Tamarind
Balushahi	ingredient	Maida flour
Balushahi	ingredient	Sugar
Balushahi	ingredient	Clarified butter
Glorified rice	ingredient	Rice
Glorified rice	ingredient	Pineapple
Glorified rice	ingredient	Whipped cream
Banana split	ingredient	Vanilla
Banana split	ingredient	Chocolate
Banana split	ingredient	Fragaria
Banana split	ingredient	Banana
Banana split	ingredient	Pineapple
Banana split	ingredient	Nut (fruit)
Banana split	ingredient	Whipped cream
Banana split	ingredient	Maraschino cherry
Seven-layer salad	ingredient	Lettuce
Seven-layer salad	ingredient	Tomato
Seven-layer salad	ingredient	Cucumber
Seven-layer salad	ingredient	Onion
Seven-layer salad	ingredient	Sweet pea
Seven-layer salad	ingredient	Boiled egg
Seven-layer salad	ingredient	Cheddar cheese
Seven-layer salad	ingredient	Bacon
Indian omelette	ingredient	Egg (food)
Indian omelette	ingredient	Tomato
Sapin-sapin	ingredient	Glutinous rice
Snickers salad	ingredient	Snickers
Snickers salad	ingredient	Granny Smith
Snickers salad	ingredient	Whipped topping
Bacon Explosion	ingredient	Sausage
Bacon Explosion	ingredient	Bacon
Rabri	ingredient	Yoghurt
Chicken fried bacon	ingredient	Bacon
Chocolate-covered bacon	ingredient	Pork belly
Chocolate-covered bacon	ingredient	Chocolate
Binignit	ingredient	Coconut milk
Binignit	ingredient	Banana
Binignit	ingredient	Taro
Binignit	ingredient	Sweet potato
Binignit	ingredient	Sago
Binignit	ingredient	Sago
Adobo (Filipino cuisine)	ingredient	Soy sauce
Adobo (Filipino cuisine)	ingredient	Vinegar
Adobo (Filipino cuisine)	ingredient	Garlic
Adobo (Filipino cuisine)	ingredient	Bay leaf
Flaki	ingredient	Tripe
Patatas bravas	ingredient	Potato
Cookie salad	ingredient	Vanilla
Cookie salad	ingredient	Whipped topping
Cookie salad	ingredient	Mandarin orange
Chiburekki	ingredient	Lamb
Chiburekki	ingredient	Beef
Chhena jalebi	ingredient	Chhena
Chhena jalebi	ingredient	Sugar
Chhena Kheeri	ingredient	Ghee
Chhena Kheeri	ingredient	Sugar
Sheermal	ingredient	Maida
Sheermal	ingredient	Saffron
Dalcha	ingredient	Lamb and mutton
Dalcha	ingredient	Dal
Dalcha	ingredient	Ginger
Dalcha	ingredient	Garlic
Mathri	ingredient	Maida
Mathri	ingredient	Semolina
Mathri	ingredient	Yoghurt
