SIDNEY BECHET	INSTRUMENT	DRUMS
SIDNEY BECHET	INSTRUMENT	TENOR SAXOPHONE
SIDNEY BECHET	INSTRUMENT	PIANO
SIDNEY BECHET	INSTRUMENT	DOUBLE BASS
CLARENCE WILLIAMS	INSTRUMENT	PIANO
SUN RA	INSTRUMENT	PIANO, ORGAN, KEYBOARDS, MINIMOOG, CELESTA, PERCUSSION, VOCALS
SLASH	INSTRUMENT	GUITAR
JERRY LEE LEWIS	INSTRUMENT	*
JERRY LEE LEWIS	INSTRUMENT	LEAD VOCALS
JERRY LEE LEWIS	INSTRUMENT	*PIANO\N*GUITAR\N*DRUMS
CARL PERKINS	INSTRUMENT	GUITAR, VOCALS
BENMONT TENCH	INSTRUMENT	PIANO
BENMONT TENCH	INSTRUMENT	ORGAN
BENMONT TENCH	INSTRUMENT	SYNTHESIZER
BENMONT TENCH	INSTRUMENT	SINGING
BRIAN SETZER	INSTRUMENT	GUITAR
BRIAN SETZER	INSTRUMENT	SINGING
RAVI SHANKAR	INSTRUMENT	*
RAVI SHANKAR	INSTRUMENT	SITAR
RAVI SHANKAR	INSTRUMENT	SINGING
BOBBY DARIN	INSTRUMENT	VOCALS, GUITAR, PIANO, DRUMS, HARMONICA, XYLOPHONE
BONNIE RAITT	INSTRUMENT	*
BONNIE RAITT	INSTRUMENT	SINGING
BONNIE RAITT	INSTRUMENT	GUITAR
BONNIE RAITT	INSTRUMENT	SLIDE GUITAR
BONNIE RAITT	INSTRUMENT	PIANO
GLEN HARDIN	INSTRUMENT	PIANO, KEYBOARD BASS
JOHN OTWAY	INSTRUMENT	GUITAR, THEREMIN, VOCALS
JIMMY PAGE	INSTRUMENT	GUITAR
J. J. JOHNSON	INSTRUMENT	TROMBONE
NEIL FINN	INSTRUMENT	VOCALS, GUITAR, UKULELE, MANDOLIN, KEYBOARDS, BASS GUITAR, DRUMS, PIANO
THE EVERLY BROTHERS	INSTRUMENT	GUITAR
THE EVERLY BROTHERS	INSTRUMENT	VOCALS
MEGAHERTZ	INSTRUMENT	KEYBOARD, AKAI MPC
BRANDON BOYD	INSTRUMENT	SINGING
BRANDON BOYD	INSTRUMENT	GUITAR
BRANDON BOYD	INSTRUMENT	PERCUSSION
BRANDON BOYD	INSTRUMENT	BASS GUITAR
D-MARK	INSTRUMENT	KEYBOARDS, MIXER, MIDI CONTROLLER
ROD STEWART	INSTRUMENT	*
ROD STEWART	INSTRUMENT	VOCALS
ANNE MURRAY	INSTRUMENT	SINGING
ANNE MURRAY	INSTRUMENT	GUITAR
LOUIS PRIMA	INSTRUMENT	HUMAN VOICE
LOUIS PRIMA	INSTRUMENT	TRUMPET
GEORGE CLINTON	INSTRUMENT	SINGING
WYNONIE HARRIS	INSTRUMENT	GUITAR
ĐORđE BALAšEVIć	INSTRUMENT	VOCALS
ĐORđE BALAšEVIć	INSTRUMENT	GUITAR
THE EDGE	INSTRUMENT	GUITAR
THE EDGE	INSTRUMENT	VOCALS
ADAM CLAYTON	INSTRUMENT	BASS GUITAR
